student_id,total_registrations,total_attendance,attendance_rate,technical_events,cultural_events,sports_events,workshop_events,hackathon_events,seminar_events,event_views,event_likes,cancellations,average_feedback_rating
S0408,14,11,0.786,4,3,0,1,3,3,37,15,0,3.4
S0409,9,8,0.889,2,1,0,2,1,3,31,13,1,4.39
S0410,24,23,0.958,8,2,4,5,3,2,35,21,0,4.29
S0411,20,18,0.9,5,2,1,6,5,1,68,18,2,3.82
S0412,2,1,0.5,0,0,1,1,0,0,11,1,0,2.82
S0413,6,5,0.833,2,1,0,2,1,0,33,8,0,4.42
S0414,4,4,1.0,1,2,0,1,0,0,1,0,0,3.73
S0415,15,14,0.933,3,2,0,5,2,3,38,13,0,3.44
S0416,13,11,0.846,1,3,2,0,2,5,35,6,1,3.21
S0417,10,10,1.0,3,2,0,1,3,1,24,9,0,3.44
S0418,14,8,0.571,5,1,0,3,3,2,34,3,2,4.18
S0419,5,4,0.8,0,2,2,0,0,1,12,1,1,2.75
S0420,9,8,0.889,5,0,1,2,0,1,11,5,2,3.91
S0421,7,5,0.714,1,1,1,1,3,0,32,15,0,4.4
S0422,5,4,0.8,0,3,0,1,0,1,9,0,0,3.97
S0423,8,6,0.75,4,1,1,1,1,0,29,15,0,4.44
S0424,11,10,0.909,2,4,2,0,3,0,25,5,0,3.37
S0425,3,1,0.333,1,1,0,0,0,1,11,2,0,3.04
S0426,7,7,1.0,0,2,1,1,1,2,24,10,0,3.81
S0427,5,3,0.6,1,2,0,0,1,1,7,3,0,3.13
S0428,11,10,0.909,3,0,2,3,1,2,20,4,2,3.43
S0429,6,6,1.0,3,1,1,1,0,0,22,3,1,3.95
S0430,8,7,0.875,4,1,0,1,1,1,19,5,0,3.44
S0431,1,1,1.0,0,0,0,1,0,0,7,1,0,3.57
S0432,13,10,0.769,2,4,1,3,2,1,18,12,3,3.23
S0433,9,3,0.333,1,1,3,3,0,1,19,15,0,4.34
S0434,5,4,0.8,0,2,2,1,0,0,13,3,0,3.87
S0435,12,11,0.917,5,4,0,2,1,0,38,12,2,4.2
S0436,12,9,0.75,2,2,2,3,0,3,32,8,0,3.39
S0437,13,9,0.692,2,3,2,5,1,0,24,11,0,4.19
S0438,20,20,1.0,9,1,2,5,1,2,37,27,0,4.77
S0439,2,0,0.0,0,1,0,0,1,0,13,5,0,3.25
S0440,28,26,0.929,14,3,1,6,1,3,77,30,1,4.08
S0441,27,23,0.852,5,3,2,10,4,3,33,12,2,4.0
S0442,3,1,0.333,0,1,1,1,0,0,1,1,0,3.37
S0443,29,28,0.966,13,2,0,6,2,6,43,25,2,4.24
S0444,3,1,0.333,0,3,0,0,0,0,4,2,1,3.8
S0445,9,7,0.778,2,2,1,1,1,2,10,4,0,3.66
S0446,11,11,1.0,5,1,1,2,1,1,36,8,1,3.79
S0447,16,14,0.875,7,1,0,4,0,4,78,20,0,4.11
S0448,9,9,1.0,4,0,1,2,0,2,28,11,1,3.82
S0449,27,26,0.963,9,0,2,7,5,4,75,10,2,4.91
S0450,15,14,0.933,2,2,0,6,3,2,13,14,4,3.5
S0451,10,7,0.7,4,0,1,4,1,0,38,12,2,4.21
S0452,12,8,0.667,6,0,2,2,0,2,31,12,1,4.49
S0453,8,8,1.0,2,1,0,4,0,1,15,6,1,3.2
S0454,12,10,0.833,4,1,0,1,1,5,39,15,2,4.38
S0455,6,5,0.833,3,0,0,3,0,0,32,11,1,4.39
S0456,6,4,0.667,1,2,0,1,0,2,38,8,0,4.44
S0457,6,4,0.667,1,1,0,2,1,1,20,3,1,4.35
S0458,12,9,0.75,5,2,1,2,0,2,11,12,0,3.78
S0459,8,7,0.875,5,2,0,1,0,0,22,3,0,3.56
S0460,3,0,0.0,2,0,1,0,0,0,13,1,1,2.66
S0461,8,7,0.875,4,1,1,2,0,0,11,3,2,4.39
S0462,9,7,0.778,4,1,0,3,0,1,16,12,0,3.98
S0463,13,10,0.769,4,2,1,3,1,2,24,13,1,3.45
S0464,4,4,1.0,1,1,1,0,0,1,15,1,0,2.58
S0465,6,5,0.833,3,0,0,1,1,1,34,4,0,3.52
S0466,10,8,0.8,2,1,3,2,1,1,32,15,1,3.89
S0467,9,5,0.556,1,1,1,4,1,1,29,10,1,4.35
S0468,23,20,0.87,7,3,2,6,2,3,75,26,1,4.39
S0469,6,4,0.667,2,1,1,0,1,1,12,10,1,4.42
S0470,2,2,1.0,0,1,0,0,0,1,10,4,0,3.43
S0471,14,11,0.786,8,1,1,1,1,2,40,5,3,4.13
S0472,13,10,0.769,2,0,2,5,1,3,21,12,1,3.76
S0473,2,2,1.0,1,1,0,0,0,0,11,5,0,3.6
S0474,7,4,0.571,1,2,1,2,0,1,23,8,0,3.43
S0475,8,7,0.875,4,0,1,2,1,0,36,7,0,4.21
S0476,8,7,0.875,3,2,1,1,1,0,26,12,0,3.62
S0477,11,9,0.818,2,1,2,3,1,2,23,4,0,4.14
S0478,2,1,0.5,0,1,0,0,0,1,9,3,0,2.69
S0479,4,2,0.5,0,2,0,0,0,2,8,1,0,3.28
S0480,11,8,0.727,5,1,1,1,2,1,31,7,0,3.29
S0481,20,19,0.95,6,2,1,4,4,3,35,26,1,3.88
S0482,6,5,0.833,1,0,1,1,0,3,33,14,0,4.29
S0483,12,12,1.0,1,2,3,4,1,1,29,10,2,3.35
S0484,3,1,0.333,1,2,0,0,0,0,13,5,1,3.03
S0485,4,0,0.0,0,2,2,0,0,0,2,1,1,3.27
S0486,8,7,0.875,2,0,0,3,0,3,36,8,0,3.32
S0487,3,2,0.667,2,1,0,0,0,0,10,2,0,3.63
S0488,10,8,0.8,3,0,2,2,0,3,11,7,0,4.31
S0489,15,11,0.733,5,3,1,4,1,1,18,7,1,4.3
S0490,1,1,1.0,0,0,0,1,0,0,12,1,1,3.99
S0491,3,3,1.0,0,0,1,1,0,1,13,3,1,3.71
S0492,10,6,0.6,5,2,2,0,0,1,31,14,2,3.37
S0493,18,16,0.889,12,0,0,2,2,2,36,33,1,4.91
S0494,2,2,1.0,0,0,1,1,0,0,4,1,0,3.01
S0495,25,20,0.8,6,1,1,11,4,2,63,18,1,4.39
S0496,6,6,1.0,2,2,0,1,1,0,35,3,0,3.27
S0497,6,5,0.833,1,2,1,0,0,2,13,9,0,4.41
S0498,12,7,0.583,6,1,1,2,2,0,37,12,1,4.24
S0499,11,7,0.636,1,3,3,3,0,1,27,9,1,3.34
S0500,4,3,0.75,0,1,0,1,1,1,5,0,0,3.79
